[13, 2, 19, 20, 3, 3, 22, 5, 6, 18, 18, 20, 20, 4, 23, 18, 17, 23, 19, 13, 6, 4, 8, 6, 22, 4, 8, 14, 13, 17, 23, 3, 8, 19, 2, 14, 2, 22, 22, 3, 18, 13, 22, 10, 17, 10, 6, 4, 8, 10, 10, 18, 23, 18, 22, 6, 4, 8, 22, 17, 10, 2, 14, 13, 2, 3, 10, 14, 8, 2, 18, 23, 23, 19, 17, 20, 17, 4, 19, 3, 6, 5, 23, 13, 14, 17, 14, 19, 4, 14, 3, 19, 20, 13, 8, 20, 2, 20, 6, 10]	[0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0]
[13, 4, 19, 20, 3, 3, 22, 5, 6, 18, 18, 20, 20, 25, 23, 18, 17, 23, 19, 13, 6, 25, 8, 6, 22, 25, 8, 14, 13, 17, 23, 3, 8, 19, 4, 14, 4, 22, 22, 3, 18, 13, 22, 10, 17, 10, 6, 25, 8, 10, 10, 18, 23, 18, 22, 6, 25, 8, 22, 17, 10, 4, 14, 13, 4, 3, 10, 14, 8, 4, 18, 23, 23, 19, 17, 20, 17, 25, 19, 3, 6, 5, 23, 13, 14, 17, 14, 19, 25, 14, 3, 19, 20, 13, 8, 20, 4, 20, 6, 10]	[0, 0, 2, 2, 2, 2, 0, 2, 0, 3, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 4, 0, 2]
[13, 4, 19, 20, 3, 3, 22, 5, 6, 18, 18, 20, 20, 25, 23, 18, 17, 23, 19, 13, 6, 25, 8, 6, 22, 25, 8, 14, 13, 17, 23, 3, 8, 19, 4, 14, 4, 22, 22, 3, 18, 13, 22, 9, 17, 9, 6, 25, 8, 9, 9, 18, 23, 18, 22, 6, 25, 8, 22, 17, 9, 4, 14, 13, 4, 3, 9, 14, 8, 4, 18, 23, 23, 19, 17, 20, 17, 25, 19, 3, 6, 5, 23, 13, 14, 17, 14, 19, 25, 14, 3, 19, 20, 13, 8, 20, 4, 20, 6, 9]	[0, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 4, 0, 2]
[13, 4, 19, 20, 3, 3, 22, 9, 6, 18, 18, 20, 20, 25, 23, 18, 17, 23, 19, 13, 6, 25, 8, 6, 22, 25, 8, 14, 13, 17, 23, 3, 8, 19, 4, 14, 4, 22, 22, 3, 18, 13, 22, 21, 17, 21, 6, 25, 8, 21, 21, 18, 23, 18, 22, 6, 25, 8, 22, 17, 21, 4, 14, 13, 4, 3, 21, 14, 8, 4, 18, 23, 23, 19, 17, 20, 17, 25, 19, 3, 6, 9, 23, 13, 14, 17, 14, 19, 25, 14, 3, 19, 20, 13, 8, 20, 4, 20, 6, 21]	[0, 0, 2, 2, 0, 2, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 4, 0, 2]
[24, 19, 24, 20, 15, 10, 22, 6, 22, 20, 8, 15, 10, 25, 6, 24, 17, 19, 18, 25, 3, 25, 23, 18, 22, 18, 9, 20, 24, 17, 23, 3, 9, 10, 8, 9, 15, 8, 25, 3, 10, 23, 22, 22, 17, 10, 6, 19, 15, 6, 15, 23, 15, 9, 22, 8, 19, 8, 20, 17, 18, 9, 20, 6, 22, 3, 19, 24, 8, 18, 25, 25, 23, 6, 17, 24, 17, 25, 15, 3, 3, 9, 23, 6, 21, 17, 21, 19, 20, 8, 3, 18, 9, 10, 23, 20, 19, 24, 18, 10]	[0, 0, 2, 0, 0, 2, 0, 2, 2, 3, 0, 0, 0, 0, 3, 0, 2, 2, 2, 2, 2, 2, 4, 4, 2]
[22, 3, 24, 5, 15, 14, 24, 24, 8, 23, 8, 15, 10, 5, 10, 17, 17, 5, 14, 12, 8, 12, 21, 16, 16, 23, 2, 2, 19, 15, 23, 10, 2, 19, 8, 16, 3, 8, 14, 24, 17, 12, 12, 24, 15, 10, 10, 17, 16, 24, 15, 16, 15, 2, 14, 8, 23, 8, 21, 17, 21, 3, 19, 22, 21, 3, 3, 5, 23, 21, 12, 14, 19, 2, 17, 19, 2, 5, 15, 5, 16, 10, 2, 19, 23, 3, 5, 21, 17, 14, 14, 21, 23, 19, 16, 24, 3, 12, 12, 10]	[0, 4, 2, 0, 2, 0, 0, 2, 0, 3, 0, 3, 0, 2, 3, 2, 2, 0, 2, 0, 2, 2, 4, 4, 0]
[24, 13, 24, 20, 15, 10, 22, 6, 22, 20, 8, 15, 10, 25, 6, 24, 17, 13, 2, 25, 3, 25, 23, 2, 22, 2, 12, 20, 24, 17, 23, 3, 12, 10, 8, 12, 15, 8, 25, 3, 10, 23, 22, 22, 17, 10, 6, 13, 15, 6, 15, 23, 15, 12, 22, 8, 13, 8, 20, 17, 2, 12, 20, 6, 22, 3, 13, 24, 8, 2, 25, 25, 23, 6, 17, 24, 17, 25, 15, 3, 3, 12, 23, 6, 21, 17, 21, 13, 20, 8, 3, 2, 12, 10, 23, 20, 13, 24, 2, 10]	[0, 2, 2, 0, 0, 2, 0, 2, 0, 3, 0, 2, 2, 0, 3, 0, 2, 0, 0, 2, 2, 2, 4, 4, 2]
[13, 19, 18, 23, 23, 10, 22, 2, 20, 20, 9, 16, 3, 25, 5, 13, 2, 7, 19, 5, 3, 25, 8, 9, 22, 9, 23, 2, 23, 3, 8, 20, 8, 22, 2, 13, 19, 22, 7, 10, 25, 13, 7, 10, 23, 10, 10, 7, 16, 16, 10, 16, 7, 20, 22, 23, 7, 8, 22, 2, 9, 16, 13, 3, 22, 19, 10, 23, 3, 9, 13, 25, 8, 25, 3, 18, 16, 25, 25, 7, 3, 2, 16, 13, 5, 19, 5, 19, 20, 8, 9, 9, 8, 5, 5, 20, 19, 5, 20, 2]	[0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2]
[24, 13, 24, 20, 14, 14, 22, 24, 8, 20, 9, 16, 20, 7, 23, 7, 19, 23, 13, 2, 8, 7, 3, 9, 20, 9, 2, 14, 2, 17, 23, 2, 8, 21, 19, 16, 19, 24, 3, 16, 7, 8, 13, 22, 17, 2, 21, 3, 16, 16, 17, 16, 23, 22, 14, 24, 3, 3, 3, 17, 9, 19, 22, 22, 19, 13, 13, 14, 20, 9, 14, 23, 23, 7, 17, 20, 17, 7, 7, 3, 16, 2, 23, 20, 22, 19, 14, 19, 17, 8, 9, 9, 8, 2, 8, 24, 13, 24, 13, 22]	[0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0]
[13, 16, 18, 20, 25, 10, 25, 19, 6, 6, 2, 25, 20, 19, 11, 18, 8, 11, 12, 13, 6, 12, 8, 2, 14, 2, 25, 20, 13, 6, 11, 10, 9, 18, 8, 13, 16, 8, 12, 10, 18, 9, 12, 10, 13, 10, 6, 12, 4, 14, 10, 18, 19, 18, 8, 4, 12, 4, 9, 4, 2, 16, 19, 25, 9, 16, 16, 13, 8, 2, 18, 11, 11, 19, 4, 25, 9, 4, 6, 4, 6, 19, 11, 13, 20, 16, 20, 16, 19, 8, 2, 2, 9, 25, 9, 20, 11, 20, 12, 10]	[0, 2, 0, 2, 0, 2, 0, 2, 2, 3, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 2]
