[6, 38, 17, 35, 38, 4, 6, 31, 12, 17, 36, 36, 6, 19, 19, 32, 37, 8, 4, 2, 37, 31, 35, 39, 31, 8, 36, 32, 6, 4, 19, 31, 36, 32, 4, 19, 7, 6, 4, 32, 12, 35, 32, 31, 8, 2, 7, 19, 6, 8, 35, 17, 35, 17, 6, 17, 12, 35, 38, 19, 31, 39, 8, 12, 36, 36, 32, 38, 4, 12, 38, 37, 2, 32, 37, 2, 8, 38, 36, 39, 35, 37, 17, 12, 2, 37, 39, 2, 17, 37, 4, 19, 39, 2, 39, 8, 39, 31, 12, 38]	[0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0]
[6, 38, 17, 35, 38, 4, 6, 23, 12, 17, 36, 36, 6, 19, 19, 32, 37, 8, 4, 2, 37, 23, 35, 39, 23, 8, 36, 32, 6, 4, 19, 23, 36, 32, 4, 19, 7, 6, 4, 32, 12, 35, 32, 23, 8, 2, 7, 19, 6, 8, 35, 17, 35, 17, 6, 17, 12, 35, 38, 19, 23, 39, 8, 12, 36, 36, 32, 38, 4, 12, 38, 37, 2, 32, 37, 2, 8, 38, 36, 39, 35, 37, 17, 12, 2, 37, 39, 2, 17, 37, 4, 19, 39, 2, 39, 8, 39, 23, 12, 38]	[0, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 0]
[7, 4, 3, 27, 16, 3, 18, 10, 11, 5, 36, 18, 16, 7, 5, 4, 16, 30, 4, 27, 24, 36, 11, 16, 36, 6, 5, 26, 6, 3, 10, 6, 36, 10, 18, 5, 26, 6, 3, 16, 11, 36, 5, 7, 36, 27, 10, 6, 24, 16, 7, 10, 6, 30, 5, 7, 10, 4, 30, 4, 26, 39, 30, 7, 7, 36, 26, 5, 39, 11, 18, 11, 27, 26, 3, 3, 30, 4, 6, 39, 4, 18, 18, 11, 26, 16, 39, 26, 18, 39, 11, 3, 27, 27, 39, 27, 39, 30, 10, 30]	[0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]
[7, 4, 3, 27, 16, 3, 18, 10, 11, 5, 36, 18, 16, 7, 5, 4, 16, 30, 4, 27, 24, 36, 11, 16, 36, 14, 5, 26, 14, 3, 10, 14, 36, 10, 18, 5, 26, 14, 3, 16, 11, 36, 5, 7, 36, 27, 10, 14, 24, 16, 7, 10, 14, 30, 5, 7, 10, 4, 30, 4, 26, 39, 30, 7, 7, 36, 26, 5, 39, 11, 18, 11, 27, 26, 3, 3, 30, 4, 14, 39, 4, 18, 18, 11, 26, 16, 39, 26, 18, 39, 11, 3, 27, 27, 39, 27, 39, 30, 10, 30]	[0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]
[30, 10, 3, 5, 18, 39, 18, 7, 14, 33, 36, 5, 8, 7, 14, 11, 16, 8, 3, 27, 14, 5, 11, 39, 36, 8, 16, 10, 16, 3, 11, 10, 36, 16, 33, 28, 7, 8, 3, 16, 28, 36, 5, 7, 8, 27, 5, 7, 7, 8, 28, 10, 36, 18, 3, 16, 8, 28, 18, 14, 11, 39, 33, 14, 30, 36, 11, 5, 33, 7, 18, 14, 27, 5, 3, 33, 33, 10, 10, 39, 28, 10, 14, 28, 27, 28, 39, 27, 36, 11, 11, 3, 27, 27, 39, 33, 39, 18, 16, 18]	[0, 0, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0]
[30, 17, 3, 5, 18, 39, 18, 10, 14, 33, 36, 5, 8, 10, 14, 11, 16, 8, 3, 27, 14, 5, 11, 39, 36, 8, 16, 17, 16, 3, 11, 17, 36, 16, 33, 28, 10, 8, 3, 16, 28, 36, 5, 10, 8, 27, 5, 10, 10, 8, 28, 17, 36, 18, 3, 16, 8, 28, 18, 14, 11, 39, 33, 14, 30, 36, 11, 5, 33, 10, 18, 14, 27, 5, 3, 33, 33, 17, 17, 39, 28, 17, 14, 28, 27, 28, 39, 27, 36, 11, 11, 3, 27, 27, 39, 33, 39, 18, 16, 18]	[0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0]
[30, 33, 12, 5, 33, 17, 18, 2, 17, 33, 36, 18, 8, 17, 14, 14, 16, 33, 8, 38, 37, 5, 37, 8, 18, 36, 36, 11, 16, 16, 2, 14, 36, 2, 18, 36, 11, 33, 14, 16, 30, 5, 5, 11, 2, 33, 2, 37, 17, 8, 37, 2, 36, 3, 5, 16, 2, 30, 3, 11, 8, 14, 3, 14, 17, 36, 37, 5, 8, 30, 3, 37, 38, 18, 8, 5, 3, 33, 11, 30, 30, 18, 17, 30, 38, 16, 11, 38, 18, 14, 11, 37, 38, 38, 17, 38, 12, 3, 16, 3]	[0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 2, 0, 0]
[17, 24, 17, 5, 24, 17, 24, 10, 30, 33, 16, 37, 8, 11, 28, 28, 28, 24, 4, 1, 37, 16, 33, 8, 16, 8, 30, 30, 30, 4, 10, 17, 16, 10, 33, 5, 11, 24, 4, 11, 5, 16, 10, 28, 16, 5, 10, 11, 11, 8, 5, 10, 8, 3, 11, 37, 8, 4, 3, 4, 28, 4, 3, 2, 11, 16, 37, 24, 33, 30, 3, 37, 1, 8, 33, 33, 3, 24, 2, 4, 5, 30, 17, 30, 1, 5, 17, 1, 17, 37, 33, 37, 1, 1, 28, 1, 28, 3, 10, 3]	[2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]
[7, 24, 11, 6, 24, 19, 24, 20, 4, 24, 36, 19, 6, 19, 20, 11, 15, 24, 19, 9, 15, 36, 11, 5, 36, 14, 7, 5, 14, 4, 23, 14, 36, 23, 23, 7, 11, 24, 5, 20, 6, 36, 23, 20, 36, 6, 16, 23, 15, 5, 7, 5, 14, 17, 4, 15, 7, 7, 17, 20, 11, 15, 17, 19, 15, 36, 11, 14, 4, 5, 17, 23, 9, 15, 14, 6, 17, 24, 23, 4, 6, 5, 19, 7, 9, 6, 20, 9, 11, 14, 4, 19, 9, 9, 16, 9, 20, 17, 4, 17]	[0, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]
[30, 18, 17, 36, 18, 17, 18, 3, 2, 18, 5, 5, 16, 2, 7, 14, 30, 18, 2, 31, 7, 5, 11, 10, 5, 8, 16, 8, 8, 16, 10, 8, 5, 10, 11, 7, 30, 18, 8, 16, 36, 5, 10, 3, 36, 36, 16, 10, 17, 16, 7, 10, 30, 20, 3, 17, 7, 11, 20, 11, 7, 17, 20, 2, 2, 30, 7, 16, 11, 2, 20, 3, 31, 17, 8, 36, 20, 18, 10, 30, 36, 30, 17, 2, 31, 36, 3, 31, 5, 8, 11, 14, 31, 31, 11, 31, 3, 20, 3, 20]	[0, 2, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]
