[19, 10, 23, 3, 32, 24, 21, 11, 19, 11, 10, 17, 5, 27, 10, 23, 32, 23, 24, 23, 32, 17, 5, 19, 27, 10, 10, 24, 6, 38, 11, 12, 24, 17, 3, 17, 38, 19, 3, 12, 11, 21, 38, 32, 8, 5, 8, 8, 24, 8, 12, 23, 23, 3, 21, 5, 3, 11, 3, 32, 5, 27, 27, 23, 21, 8, 38, 6, 38, 5, 8, 17, 27, 21, 12, 27, 21, 24, 17, 10, 19, 27, 32, 24, 11, 5, 10, 38, 8, 12, 17, 19, 3, 19, 38, 12, 21, 11, 12, 32]	[0, 0, 2, 0, 8, 8, 0, 2, 0, 8, 2, 8, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0]
[19, 10, 23, 3, 32, 24, 21, 11, 19, 11, 10, 17, 5, 27, 10, 23, 32, 23, 24, 23, 32, 17, 5, 19, 27, 10, 10, 24, 28, 38, 11, 6, 24, 17, 3, 17, 38, 19, 3, 6, 11, 21, 38, 32, 8, 5, 8, 8, 24, 8, 6, 23, 23, 3, 21, 5, 3, 11, 3, 32, 5, 27, 27, 23, 21, 8, 38, 28, 38, 5, 8, 17, 27, 21, 6, 27, 21, 24, 17, 10, 19, 27, 32, 24, 11, 5, 10, 38, 8, 6, 17, 19, 3, 19, 38, 6, 21, 11, 6, 32]	[0, 0, 2, 0, 8, 8, 0, 2, 0, 8, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0]
[19, 10, 23, 3, 32, 24, 21, 11, 19, 11, 10, 17, 5, 27, 10, 23, 32, 23, 24, 23, 32, 17, 5, 19, 27, 10, 10, 24, 15, 38, 11, 6, 24, 17, 3, 17, 38, 19, 3, 6, 11, 21, 38, 32, 8, 5, 8, 8, 24, 8, 6, 23, 23, 3, 21, 5, 3, 11, 3, 32, 5, 27, 27, 23, 21, 8, 38, 15, 38, 5, 8, 17, 27, 21, 6, 27, 21, 24, 17, 10, 19, 27, 32, 24, 11, 5, 10, 38, 8, 6, 17, 19, 3, 19, 38, 6, 21, 11, 6, 32]	[0, 0, 2, 0, 8, 8, 0, 2, 0, 8, 2, 0, 0, 0, 8, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0]
[19, 10, 23, 3, 32, 24, 21, 11, 19, 11, 10, 17, 5, 27, 10, 23, 32, 23, 24, 23, 32, 17, 5, 19, 27, 10, 10, 24, 15, 9, 11, 6, 24, 17, 3, 17, 9, 19, 3, 6, 11, 21, 9, 32, 8, 5, 8, 8, 24, 8, 6, 23, 23, 3, 21, 5, 3, 11, 3, 32, 5, 27, 27, 23, 21, 8, 9, 15, 9, 5, 8, 17, 27, 21, 6, 27, 21, 24, 17, 10, 19, 27, 32, 24, 11, 5, 10, 9, 8, 6, 17, 19, 3, 19, 9, 6, 21, 11, 6, 32]	[0, 0, 2, 0, 8, 8, 0, 2, 8, 8, 2, 0, 0, 0, 8, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
[19, 10, 23, 3, 32, 24, 21, 11, 19, 11, 10, 17, 5, 27, 10, 23, 32, 23, 24, 23, 32, 17, 5, 19, 27, 10, 10, 24, 6, 15, 11, 7, 24, 17, 3, 17, 15, 19, 3, 7, 11, 21, 15, 32, 8, 5, 8, 8, 24, 8, 7, 23, 23, 3, 21, 5, 3, 11, 3, 32, 5, 27, 27, 23, 21, 8, 15, 6, 15, 5, 8, 17, 27, 21, 7, 27, 21, 24, 17, 10, 19, 27, 32, 24, 11, 5, 10, 15, 8, 7, 17, 19, 3, 19, 15, 7, 21, 11, 7, 32]	[0, 0, 2, 0, 8, 8, 8, 2, 0, 8, 2, 0, 0, 0, 8, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
[19, 10, 23, 3, 32, 24, 21, 11, 19, 11, 10, 17, 5, 27, 10, 23, 32, 23, 24, 23, 32, 17, 5, 19, 27, 10, 10, 24, 15, 12, 11, 6, 24, 17, 3, 17, 12, 19, 3, 6, 11, 21, 12, 32, 8, 5, 8, 8, 24, 8, 6, 23, 23, 3, 21, 5, 3, 11, 3, 32, 5, 27, 27, 23, 21, 8, 12, 15, 12, 5, 8, 17, 27, 21, 6, 27, 21, 24, 17, 10, 19, 27, 32, 24, 11, 5, 10, 12, 8, 6, 17, 19, 3, 19, 12, 6, 21, 11, 6, 32]	[0, 0, 2, 0, 8, 8, 0, 2, 0, 8, 2, 8, 0, 0, 8, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
[19, 13, 19, 3, 16, 16, 13, 11, 19, 27, 16, 17, 16, 3, 32, 21, 16, 24, 27, 23, 32, 17, 11, 19, 23, 16, 27, 21, 10, 11, 15, 24, 19, 1, 3, 17, 11, 15, 32, 24, 3, 21, 15, 16, 8, 1, 8, 8, 17, 8, 24, 32, 23, 17, 21, 15, 32, 23, 3, 15, 1, 23, 13, 23, 1, 8, 21, 11, 32, 1, 8, 13, 27, 13, 21, 10, 32, 3, 17, 3, 19, 27, 23, 27, 13, 13, 1, 11, 8, 24, 17, 19, 11, 15, 15, 24, 21, 27, 24, 1]	[2, 0, 2, 0, 0, 0, 0, 2, 0, 8, 2, 0, 2, 0, 2, 8, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
[19, 10, 23, 3, 15, 21, 11, 1, 19, 27, 10, 10, 5, 21, 32, 23, 19, 6, 27, 10, 32, 17, 1, 17, 7, 10, 10, 21, 7, 19, 15, 6, 19, 11, 11, 17, 1, 15, 32, 1, 11, 7, 15, 5, 27, 21, 7, 3, 17, 11, 6, 23, 23, 3, 17, 15, 32, 4, 3, 15, 5, 7, 27, 23, 32, 11, 7, 1, 32, 5, 7, 19, 27, 21, 6, 4, 32, 3, 17, 10, 6, 27, 5, 3, 5, 5, 11, 1, 23, 1, 17, 19, 3, 15, 23, 6, 21, 27, 6, 21]	[2, 0, 2, 8, 8, 8, 2, 0, 0, 8, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 8, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
[19, 10, 23, 3, 15, 21, 11, 1, 19, 27, 10, 10, 24, 21, 32, 23, 19, 6, 27, 10, 32, 17, 1, 17, 7, 10, 10, 21, 7, 19, 15, 6, 19, 11, 11, 17, 1, 15, 32, 1, 11, 7, 15, 24, 27, 21, 7, 3, 17, 11, 6, 23, 23, 3, 17, 15, 32, 4, 3, 15, 24, 7, 27, 23, 32, 11, 7, 1, 32, 24, 7, 19, 27, 21, 6, 4, 32, 3, 17, 10, 6, 27, 24, 3, 24, 24, 11, 1, 23, 1, 17, 19, 3, 15, 23, 6, 21, 27, 6, 21]	[2, 0, 2, 8, 0, 8, 2, 0, 0, 8, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 8, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
[19, 10, 30, 3, 15, 21, 11, 1, 19, 27, 10, 10, 4, 21, 32, 30, 19, 6, 27, 10, 32, 17, 1, 17, 7, 10, 10, 21, 7, 19, 15, 6, 19, 11, 11, 17, 1, 15, 32, 1, 11, 7, 15, 4, 27, 21, 7, 3, 17, 11, 6, 30, 30, 3, 17, 15, 32, 22, 3, 15, 4, 7, 27, 30, 32, 11, 7, 1, 32, 4, 7, 19, 27, 21, 6, 22, 32, 3, 17, 10, 6, 27, 4, 3, 4, 4, 11, 1, 30, 1, 17, 19, 3, 15, 30, 6, 21, 27, 6, 21]	[2, 0, 2, 8, 0, 8, 2, 0, 0, 8, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 8, 3, 0, 0, 0, 0, 2, 0, 0, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
